BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE
TQBR,2024-10-30,426.0,23981,10202382.75
TQBR,2024-10-31,424.9,6024,2556063.05
TQBR,2024-11-01,427.0,1830,778365.8
TQBR,2024-11-02,426.3,1418,605456.55
TQBR,2024-11-05,425.2,538,230087.45
TQBR,2024-11-06,424.0,5450,2339178.85
TQBR,2024-11-07,425.55,4590,1968860.6
TQBR,2024-11-08,422.3,1286,546530.2
TQBR,2024-11-11,424.35,737,310830.05
TQBR,2024-11-12,425.0,336,142671.5
TQBR,2024-11-13,425.0,1846,783137.95
TQBR,2024-11-14,422.15,703,297178.6
TQBR,2024-11-15,425.5,2087,886731.9
TQBR,2024-11-18,426.9,5899,2519382.75
TQBR,2024-11-19,425.9,4491,1917899.25
TQBR,2024-11-20,422.05,6561,2797001.4
TQBR,2024-11-21,423.7,477,200505.0
TQBR,2024-11-22,426.7,1740,743448.55
TQBR,2024-11-25,428.2,5909,2532679.4
TQBR,2024-11-26,428.5,4764,2034817.8
TQBR,2024-11-27,424.55,3067,1313812.45
TQBR,2024-11-28,427.75,5065,2172709.2
TQBR,2024-11-29,427.9,5448,2331802.85
TQBR,2024-12-02,429.7,5146,2209927.75
TQBR,2024-12-03,425.95,4659,1986355.25
TQBR,2024-12-04,426.9,6703,2870701.9
TQBR,2024-12-05,429.65,570,244455.45
TQBR,2024-12-06,431.85,160,68174.85
TQBR,2024-12-09,428.0,4399,1884655.9
TQBR,2024-12-10,422.85,2909,1239405.45
TQBR,2024-12-11,425.9,1060,449565.0
TQBR,2024-12-12,423.45,120,50930.95
TQBR,2024-12-13,420.45,185,78024.8
TQBR,2024-12-16,417.5,2497,1040283.85
TQBR,2024-12-17,424.5,3250,1375561.1
TQBR,2024-12-18,421.8,1147,483663.5
TQBR,2024-12-19,424.0,347,145752.0
TQBR,2024-12-20,410.0,10675,4413834.3
TQBR,2024-12-23,410.05,854,352198.35
TQBR,2024-12-24,412.7,709,292370.85
TQBR,2024-12-25,413.85,474,195307.65
TQBR,2024-12-26,408.2,2977,1234554.2
TQBR,2024-12-27,412.0,3746,1516235.95
TQBR,2024-12-28,404.9,1181,480398.05
TQBR,2024-12-30,407.9,1553,628252.25
TQBR,2025-01-03,408.9,440,179431.4
TQBR,2025-01-06,407.75,527,215634.8
TQBR,2025-01-08,408.0,247,100941.2
TQBR,2025-01-09,429.9,10950,4711102.0
TQBR,2025-01-10,426.8,8551,3618242.2
TQBR,2025-01-13,424.4,4846,2053140.85
TQBR,2025-01-14,424.3,888,376689.7
TQBR,2025-01-15,422.0,1130,475186.2
TQBR,2025-01-16,420.6,2444,1021282.4
TQBR,2025-01-17,423.95,2101,877873.85
TQBR,2025-01-20,419.05,3072,1280194.35
TQBR,2025-01-21,416.7,1184,497037.25
TQBR,2025-01-22,422.1,442,184385.9
TQBR,2025-01-23,419.9,286,119566.45
TQBR,2025-01-24,416.05,717,298310.1
TQBR,2025-01-27,415.5,2115,885326.05
TQBR,2025-01-28,425.65,11936,5068885.45
TQBR,2025-01-29,424.8,1451,618453.95
TQBR,2025-01-30,423.8,4061,1724024.6
TQBR,2025-01-31,423.0,707,300192.6
TQBR,2025-02-03,418.5,423,177564.0
TQBR,2025-02-04,423.5,876,370786.0
TQBR,2025-02-05,421.0,645,271247.5
TQBR,2025-02-06,425.0,444,188555.5
TQBR,2025-02-07,424.0,1956,832006.0
TQBR,2025-02-10,425.0,929,398066.0
TQBR,2025-02-11,424.5,684,288285.0
TQBR,2025-02-12,420.0,1607,673472.5
TQBR,2025-02-13,424.0,1430,608607.5
TQBR,2025-02-14,423.5,2607,1094543.5
TQBR,2025-02-17,430.0,3277,1400681.0
TQBR,2025-02-18,428.0,901,388542.0
TQBR,2025-02-19,431.5,2929,1262319.5
TQBR,2025-02-20,431.0,1301,563132.0
TQBR,2025-02-21,439.0,2551,1111718.5
TQBR,2025-02-24,447.5,6559,2879297.0
TQBR,2025-02-25,445.5,1712,765638.0
TQBR,2025-02-26,451.0,6917,3121915.0
TQBR,2025-02-27,461.0,8348,3838598.0
TQBR,2025-02-28,457.0,12006,5490758.5
TQBR,2025-03-03,462.5,10360,4832230.5
TQBR,2025-03-04,457.5,3849,1751583.0
TQBR,2025-03-05,454.0,5354,2412784.0
TQBR,2025-03-06,456.0,1528,693845.0
TQBR,2025-03-07,458.0,3358,1523601.5
